,No.,Item 1,Item 2,Nature,Intended Purpose/ Complimentary,Channels of trade/ Relevant public/ Usual origin,Level of similarity
0,1,1 Chemicals for industrial use,1 chemical additives for detergents,4,4,4,4.0
1,2,1 chemical products used in the manufacture of plastics and in the photocopying industry,"1 plastics in the form of granules, powders, masses, resins, gels, emulsions, dispersions, pastes, flakes, chips.",4,4,-,4.0
2,3,1 polymers,1 Unprocessed plastics,4,4,-,4.0
3,4,02 Paints,19 Construction materials,0,3,-,2.0
4,5,3 Cosmetics.,1 chemical additives for detergents,0,2,2,2.0
5,6,3 Cosmetics.,"40 Services for the pharmaceutical and cosmetic industry, namely synthesis and preparation of pharmaceutical and cosmetic products.",4,4,-,4.0
6,7,1 Industrial chemicals in the field of washing or food preservation only,"42 Development of pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides, for others",3,3,-,3.0
7,8,1 chemical additives in the field of washing or food preservation only;,42 scientific and/or industrial research and consultancy relating thereto for the pharmaceutical and cosmetic industry;,0,0,-,0.0
8,9,1 chemical substances intended to conserve food,"42 operating of licencing procedures for pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides;",2,2,-,2.0
9,10,1 chemical substances for preserving foodstuffs;,"42 Development of pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides, for others",3,3,-,3.0
10,11,1 detergents for use in manufacturing processes;,"42 Development of pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides, for others",2,2,-,2.0
11,12,1 adhesive removal in manufacturing processes,"42 Development of pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides, for others",0,1,0,1.0
12,13,1 chemical substances for analysis in laboratories (except for medicinal or veterinary purposes).,42 scientific and/or industrial research and consultancy relating thereto for the pharmaceutical and cosmetic industry;,3,3,-,3.0
13,14,"07 Machines for the manufacture of concrete elements, concrete panels and walls;","07 Parts of machines, especially for textile machines, namely covers, roll covers, aprons for machines",3,3,-,3.0
14,15,"07 Machines for the manufacture of concrete elements, concrete panels and walls;",07 rollers and rolls [parts of machines];,3,3,-,3.0
15,16,"07 parts and fittings of machines for the manufacture of concrete elements, concrete panels and walls;",07 drive belts for machines;,3,3,-,3.0
16,17,"19 Building materials, especially concrete elements, panels and walls.",37 Building construction;,3,3,-,3.0
17,18,"19 Building materials, especially concrete elements, panels and walls.",37 Repair services.,2,3,-,3.0
18,19,"19 Building materials, especially concrete elements, panels and walls.",37 Installation services.,0,3,3,3.0
19,20,05 pharmaceuticals,10 Medical instruments,0,3,3,3.0
20,21,09 Electronic key fobs being remote control apparatus,09 Electrical and power test and measurement equipment,3,3,3,3.0
21,22,10 Apparatus for physical training for medical use;,"17 Rubber, gutta-percha, gum, asbestos, mica and goods made from these materials not included in other classes",2,0,0,0.0
22,23,10 manually-operated exercise equipment for medical rehabilitative purposes;,25 special athletic shoes,0,3,3,3.0
23,24,10 manually-operated exercise equipment for physical therapy purposes;,17 insulating materials;,0,0,0,0.0
24,25,10 exercise machines for therapeutic purposes;,"17 flexible pipes, not of metal;",0,2,1,1.0
25,26,10 physical exercise apparatus for therapeutic purposes.,17 rubber coverings.,0,3,1,1.0
26,27,10 manually-operated exercise equipment for physical therapy purposes;,25 Special athletic clothing,0,3,3,3.0
27,28,"28  Accessory for manually- operated exercise equipment, namely, accessory attachment to increase muscle resistance exercise equipment, namely, arm exercisers, body exercisers, chest expanders, chest pulls, exercise barrels, exercise chairs, exercise platforms, exercise resistance machines, exercise tables, floor supported platforms having movable portion intended for exercise and treatment of all muscles of the body, leg exercisers, resistance exercise machines for various resistance- type body exercises, stair-stepping machines, and torso exercisers.",27 Mats,-,3,3,3.0
28,29,"28 exercise equipment, namely, floor supported platforms having movable portion intended for exercise and treatment of all muscles of the body",27 Carpets,-,3,2,2.0
29,30,"28 exercise equipment, other than for physical therapy purposes, namely, arm exercisers, body exercisers, chest expanders, chest pulls, exercise barrels, exercise chairs, exercise platforms, exercise resistance machines, exercise tables, floor supported platforms having movable portion intended for exercise and treatment of all muscles of the body, leg exercisers, resistance exercise machines for various resistance-type body
exercises, stair-stepping machines, and torso exercisers",27 linoleum and other floor coverings;,0,2,1,
30,31,28 exercise machines,28 linoleum and,-,2,1,1.0
31,32,28 manually-operated exercise equipment,25 Footwear,0,2,3,2.0
32,33,"28 sporting goods, namely, sports training devices in the nature of balance boards to improve strength, toning, conditioning, balance, and proprioception",25 Footwear,0,2,3,2.0
33,34,28 body-training apparatus;,25 Bicycles,1,2,1,2.0
34,35,28 body-training apparatus for exercise and treatment of all muscles of the body,25 Footwear,0,2,2,2.0
35,36,"12 Bicycles, pedelecs and electric bicycles, and parts and accessories therefor, not included in other classes.",12 Pedal Bicycles,-,3,4,4.0
36,37,25 Footwear,35 Footwear trade,-,3,4,3.0
37,38,"29: Milk, milk-based drinks (in which milk is the main part, not included in other groups)",05 Infant formula;,4,4,4,4.0
38,39,32 Beer,32 Non-alcoholic beverages and preparations for making such beverages,0,0,4,1.0
