Item1,Item2,Nature,Purpose,Similarity
1 Chemicals for industrial use,1 Chemical additives for detergents,4,4,4.0
1 Chemical products used in the manufacture of plastics and in the photocopying industry,"1 Plastics in the form of granules, powders, masses, resins, gels, emulsions, dispersions, pastes, flakes, chips",4,4,4.0
1 Polymers,1 Unprocessed plastics,4,4,4.0
2 Paints,19 Construction materials,0,3,2.0
3 Cosmetics,1 chemical additives for detergents,0,2,2.0
3 Cosmetics,"40 Services for the pharmaceutical and cosmetic industry, namely synthesis and preparation of pharmaceutical and cosmetic products",4,4,4.0
1 Industrial chemicals in the field of washing or food preservation only,"42 Development of pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides, for others",3,3,3.0
1 Chemical additives in the field of washing or food preservation only,42 Scientific and/or industrial research and consultancy relating thereto for the pharmaceutical and cosmetic industry,0,0,0.0
1 Chemical substances intended to conserve food,"42 Operating of licencing procedures for pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides",2,2,2.0
1 Chemical substances for preserving foodstuffs,"42 Development of pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides, for others",3,3,3.0
1 Detergents for use inmanufacturing processes,"42 Development of pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides, for others",2,2,2.0
1 Adhesive removal inmanufacturing processes,"42 Development of pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides, for others",0,1,1.0
1 Chemical substances for analysis in laboratories (except for medicinal or veterinary purposes),42 Scientific and/or industrial research and consultancy relating thereto for the pharmaceutical and cosmetic industry,3,3,3.0
"7 Machines for the manufacture of concrete elements, concrete panels and walls","7 Parts of machines, especially for textile machines, namely covers, roll covers, aprons for machines",3,3,3.0
"7 Machines for the manufacture of concrete elements, concrete panels and walls",7 rollers and rolls [parts of machines],3,3,3.0
"7 Parts and fittings of machines for the manufacture of concrete elements, concrete panels and walls",7 Drive belts for machines,3,3,3.0
"19 Building materials, especially concrete elements, panels and walls",37 Building construction,3,3,3.0
"19 Building materials, especially concrete elements, panels and walls",37 Repair services,2,3,3.0
"19 Building materials, especially concrete elements, panels and walls",37 Installation services,0,3,3.0
05 Pharmaceuticals,10 Medical instruments,0,3,3.0
09 Electronic key fobs being remote control apparatus,9 Electrical and power test and measurement equipment,3,3,3.0
10 Apparatus for physical training for medical use,"17 Rubber, gutta-percha, gum, asbestos, mica and goods made from these materials not included in other classes",2,0,0.0
10 Manually-operated exercise equipment for medical rehabilitative purposes,25 Special athletic shoes,0,3,3.0
10 Manually-operated exercise equipment for physical therapy purposes,17 Insulating materials,0,0,0.0
10 Exercise machines for therapeutic purposes,"17 Flexible pipes, not of metal",0,2,1.0
10 Physical exercise apparatus for therapeutic purposes,17 Rubber coverings,0,3,1.0
10 Manually-operated exercise equipment for physical therapy purposes,25 Special athletic clothing,0,3,3.0
"28  Accessory for manually-operated exercise equipment, namely, accessory attachment to increase muscle resistance exercise equipment, namely, arm exercisers, body exercisers, chest expanders, chest pulls, exercise barrels, exercise chairs, exercise platforms, exercise resistance machines, exercise tables, floor supported platforms having movable portion intended for exercise and treatment of all muscles of the body, leg exercisers, resistance exercise machines for various resistance-type body exercises, stair-stepping machines, and torso exercisers",27 Mats,,3,3.0
"28 Exercise equipment, namely, floor supported platforms having movable portion intended for exercise and treatment of all muscles of the body",27 Carpets,,3,2.0
"28 Exercise equipment, other than for physical therapy purposes, namely, arm exercisers, body exercisers, chest expanders, chest pulls, exercise barrels, exercise chairs, exercise platforms, exercise resistance machines, exercise tables, floor supported platforms having movable portion intended for exercise and treatment of all muscles of the body, leg exercisers, resistance exercise machines for various resistance-type body exercises, stair-stepping machines, and torso exercisers",27 Linoleum and other floor coverings,0,2,
28 Exercise machines,28 Linoleum and other floor coverings,,2,1.0
