Nature,class_1,product_1,class_2,product_2
4.0,1,Chemicals for industrial use,1,Chemical additives for detergents
4.0,1,Chemical products used in the manufacture of plastics and in the photocopying industry,1,"Plastics in the form of granules, powders, masses, resins, gels, emulsions, dispersions, pastes, flakes, chips"
4.0,1,Polymers,1,Unprocessed plastics
0.0,2,Paints,19,Construction materials
0.0,3,Cosmetics,1,chemical additives for detergents
4.0,3,Cosmetics,40,"Services for the pharmaceutical and cosmetic industry, namely synthesis and preparation of pharmaceutical and cosmetic products"
3.0,1,Industrial chemicals in the field of washing or food preservation only,42,"Development of pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides, for others"
0.0,1,Chemical additives in the field of washing or food preservation only,42,Scientific and/or industrial research and consultancy relating thereto for the pharmaceutical and cosmetic industry
2.0,1,Chemical substances intended to conserve food,42,"Operating of licencing procedures for pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides"
3.0,1,Chemical substances for preserving foodstuffs,42,"Development of pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides, for others"
2.0,1,Detergents for use inmanufacturing processes,42,"Development of pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides, for others"
0.0,1,Adhesive removal inmanufacturing processes,42,"Development of pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides, for others"
3.0,1,Chemical substances for analysis in laboratories (except for medicinal or veterinary purposes),42,Scientific and/or industrial research and consultancy relating thereto for the pharmaceutical and cosmetic industry
3.0,7,"Machines for the manufacture of concrete elements, concrete panels and walls",7,"Parts of machines, especially for textile machines, namely covers, roll covers, aprons for machines"
3.0,7,"Machines for the manufacture of concrete elements, concrete panels and walls",7,rollers and rolls [parts of machines]
3.0,7,"Parts and fittings of machines for the manufacture of concrete elements, concrete panels and walls",7,Drive belts for machines
3.0,19,"Building materials, especially concrete elements, panels and walls",37,Building construction
2.0,19,"Building materials, especially concrete elements, panels and walls",37,Repair services
0.0,19,"Building materials, especially concrete elements, panels and walls",37,Installation services
0.0,05,Pharmaceuticals,10,Medical instruments
3.0,09,Electronic key fobs being remote control apparatus,9,Electrical and power test and measurement equipment
2.0,10,Apparatus for physical training for medical use,17,"Rubber, gutta-percha, gum, asbestos, mica and goods made from these materials not included in other classes"
0.0,10,Manually-operated exercise equipment for medical rehabilitative purposes,25,Special athletic shoes
0.0,10,Manually-operated exercise equipment for physical therapy purposes,17,Insulating materials
0.0,10,Exercise machines for therapeutic purposes,17,"Flexible pipes, not of metal"
0.0,10,Physical exercise apparatus for therapeutic purposes,17,Rubber coverings
0.0,10,Manually-operated exercise equipment for physical therapy purposes,25,Special athletic clothing
0.0,28,"Exercise equipment, other than for physical therapy purposes, namely, arm exercisers, body exercisers, chest expanders, chest pulls, exercise barrels, exercise chairs, exercise platforms, exercise resistance machines, exercise tables, floor supported platforms having movable portion intended for exercise and treatment of all muscles of the body, leg exercisers, resistance exercise machines for various resistance-type body exercises, stair-stepping machines, and torso exercisers",27,Linoleum and other floor coverings
0.0,28,Manually-operated exercise equipment,25,Footwear
0.0,28,"Sporting goods, namely, sports training devices in the nature of balance boards to improve strength, toning, conditioning, balance, and proprioception",25,Footwear
1.0,28,Body-training apparatus,25,Bicycles
0.0,28,Body-training apparatus for exercise and treatment of all muscles of the body,25,Footwear
4.0,29,"Milk, milk-based drinks (in which milk is the main part, not included in other groups)",5,Infant formula
0.0,32,Beer,32,Non-alcoholic beverages and preparations for making such beverages
2.0,11,"Solar collectors, solar heat collectors [heating, heating];",11,Lighting equipment
4.0,7,Anti-friction bearings for machines,7,Rollers
0.0,8,Hair clippers (electric and non-electric),21,Glass holders
0.0,11,Ventilators,11,Sprinkler
0.0,7,Prefabricated building assembly kits of metal,7,Machines for wafer bonding
2.0,35,Commercial Business survey,35,Business management consultancy
4.0,35,Business management consultancy,35,Business management consulting services in the field of information technology
2.0,35,Personnel management consultancy,35,Business management and organization consultancy
2.0,35,Real estate auctioning,35,Commercial information agencies
0.0,36,Real estate consultancy,35,Advertising
0.0,36,Financial consultancy,35,Advertising
0.0,36,Real estate brokerage,35,Advertising by mail order
4.0,36,Investment consulting,36,"Real estate related sales, management, leasing, agency services"
